CULTURA,CUSTO PRODUÇÃO,PRODUTIVIDADE,CICLO DE VIDA MIN EM DIAS,CICLO DE VIDA MAX EM DIAS,REQUISITO DE ÁGUA,RETORNO FINANCEIRO,SINERGIA,COMPANHEIRA,NEUTRA,ANTAGÔNICA,ESPAÇO MÍNIMO m²
Milho,1.5,2.5,120,120,2,2.5,Soja,"Feijão,Amendoim","Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego","Girassol,Algodão",0.15
Soja,2,3,110,110,2,3,Milho,"Milho,Sorgo,Amendoim","Trigo,Cevada,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego","Feijão,Girassol",0.07
Feijão,2,2,85,85,2,2,Milho,"Milho,Mandioca,Amendoim","Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego","Soja,Girassol",0.05
Sorgo,1,2,110,110,1,2,Algodão,Milho,"Feijão,Mandioca,Algodão,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego","Trigo,Cevada,Aveia",0.10
Mandioca,1.5,3,365,365,2.5,2.5,"Araticum,Guaraná",Milho,"Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego","Inhame",1.0
Algodão,2.5,3,150,150,2.5,3,Quiabo,"Milho,Sorgo","Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Feijão,Arroz",0.20
Trigo,1.5,2,140,140,2,2,"Maçã,Pêssego,Pecan","Aveia,Centeio","Feijão,Algodão,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Milho,Sorgo",0.05
Cevada,1,2,130,130,1.5,2,"Grão_de_Bico",Aveia,"Soja,Feijão,Algodão,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Milho,Sorgo",0.06
Aveia,1,2,90,90,1,2,"Maçã,Pêssego,Lentilha,Linhaça",Soja,"Feijão,Algodão,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Milho,Sorgo",0.05
Café,3,2,1095,1095,3,3,"Eucalipto,Pimenta_do_Reino,Graviola,Goiaba,Abacate,Gengibre","Milho,Banana","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",2.5
Eucalipto,3,3,2555,2555,2.5,3,"Pinus,Acácia",Nenhuma,"Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Uva,Maçã,Pêssego,Cana_de_Acucar","Culturas_Anuais",16.0
Banana,3,3,365,365,3,3,Cacau,Café,"Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Eucalipto,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Citros",6.0
Cacau,3,1.5,1095,1095,3,3,"Dendê,Seringueira,Pimenta_do_Reino,Graviola",Banana,"Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Eucalipto,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Café",12.0
